"Region Code","Timestamp (Hour Ending)","Wind Generation (MWh)","Solar Generation (MWh)","Hydro Generation (MWh)","Other Generation (MWh)","Petroleum Generation (MWh)","Natural gas Generation (MWh)","Coal Generation (MWh)","Nuclear Generation (MWh)"
CAL,"5/27/2021 8 p.m. PDT",5263,102,3826,796,88,12762,813,1612
CAL,"5/27/2021 9 p.m. PDT",5485,17,3144,899,88,12455,855,1612
CAL,"5/27/2021 10 p.m. PDT",5481,19,2681,875,88,11454,856,1615
CAL,"5/27/2021 11 p.m. PDT",5599,19,1874,740,88,9926,811,1616
CAL,"5/28/2021 12 a.m. PDT",5478,19,1553,655,88,8658,750,1617
CAL,"5/28/2021 1 a.m. PDT",5254,21,1437,732,87,7862,695,1617
CAL,"5/28/2021 2 a.m. PDT",4876,19,839,620,88,7770,645,1616
CAL,"5/28/2021 3 a.m. PDT",4878,19,841,612,88,7676,617,1613
CAL,"5/28/2021 4 a.m. PDT",5023,17,917,670,87,7074,611,1612
CAL,"5/28/2021 5 a.m. PDT",5023,16,1082,730,87,7269,613,1642
CAL,"5/28/2021 6 a.m. PDT",4720,583,1371,717,88,7949,612,1688
CAL,"5/28/2021 7 a.m. PDT",4224,5431,584,734,87,7504,612,1814
CAL,"5/28/2021 8 a.m. PDT",3893,10045,189,607,87,6751,614,1962
CAL,"5/28/2021 9 a.m. PDT",3213,11781,199,593,87,6319,612,2112
CAL,"5/28/2021 10 a.m. PDT",2543,12498,220,586,87,6768,610,2246
CAL,"5/28/2021 11 a.m. PDT",2231,13071,84,577,87,6911,607,2270
CAL,"5/28/2021 12 p.m. PDT",2135,13185,403,581,41,6359,605,2279
CAL,"5/28/2021 1 p.m. PDT",2036,13190,470,583,40,6490,602,2281
CAL,"5/28/2021 2 p.m. PDT",2254,12941,689,607,41,6656,603,2271
CAL,"5/28/2021 3 p.m. PDT",2517,12634,1259,588,39,6664,602,2275
CAL,"5/28/2021 4 p.m. PDT",3208,11932,1485,552,39,7134,619,2277
CAL,"5/28/2021 5 p.m. PDT",4239,10082,1744,558,39,8951,635,2278
CAL,"5/28/2021 6 p.m. PDT",4646,8353,2001,608,38,9364,676,2276
CAL,"5/28/2021 7 p.m. PDT",4796,2676,3530,800,39,11416,754,2276
CAL,"5/28/2021 8 p.m. PDT",5094,94,4132,1003,39,12051,842,2276
CAL,"5/28/2021 9 p.m. PDT",5075,15,3585,980,39,11774,886,2279
CAL,"5/28/2021 10 p.m. PDT",5007,18,3101,856,40,11110,874,2275
CAL,"5/28/2021 11 p.m. PDT",5010,19,2387,693,41,10513,820,2275
CAL,"5/29/2021 12 a.m. PDT",5037,19,1884,690,40,10051,758,2276
CAL,"5/29/2021 1 a.m. PDT",5063,19,1239,785,40,9355,700,2278
CAL,"5/29/2021 2 a.m. PDT",4925,19,1140,625,41,9048,648,2278
CAL,"5/29/2021 3 a.m. PDT",5024,15,960,632,40,8143,616,2282
CAL,"5/29/2021 4 a.m. PDT",4799,16,1008,735,40,8083,613,2281
CAL,"5/29/2021 5 a.m. PDT",4826,17,1102,686,41,8012,617,2279
CAL,"5/29/2021 6 a.m. PDT",4760,488,1011,739,41,7764,612,2276
CAL,"5/29/2021 7 a.m. PDT",4467,4794,856,670,41,6213,610,2277
